,Major,Degree Type,Early Career Pay,Mid Career Pay,High Meaning
0,Aeronautical Engineering,Bachelors,"$74,700","$131,100",66%
1,Computer Engineering (CE),Bachelors,"$79,000","$131,000",46%
2,Naval Architecture & Marine Engineering,Bachelors,"$74,400","$130,700",49%
3,Entrepreneurship & Marketing,Bachelors,"$51,400","$129,800",45%
4,Corporate Accounting & Finance,Bachelors,"$65,200","$129,700",55%
5,Mechatronics,Bachelors,"$72,800","$129,600",48%
6,Nuclear Engineering,Bachelors,"$76,400","$129,400",62%
7,Electrical Engineering (EE),Bachelors,"$75,600","$127,700",54%
8,Foreign Affairs,Bachelors,"$54,800","$127,700",36%
9,Marine Transportation Management,Bachelors,"$71,100","$127,500",-
10,Mechanical & Aeronautical Engineering,Bachelors,"$70,900","$126,900",60%
11,Welding Engineering,Bachelors,"$81,000","$126,600",56%
12,Instrumentation & Control Engineering,Bachelors,"$73,100","$126,400",-
13,Computational & Applied Mathematics,Bachelors,"$75,500","$126,000",45%
14,Electrical & Electronics Engineering (EEE),Bachelors,"$74,700","$125,800",56%
15,Aerospace Engineering,Bachelors,"$74,300","$125,700",55%
16,Astronomy,Bachelors,"$66,600","$125,400",47%
17,Optical Science & Engineering,Bachelors,"$71,000","$125,400",-
18,Quantitative Business Analysis,Bachelors,"$74,000","$125,400",37%
19,Computer Science (CS) & Mathematics,Bachelors,"$70,500","$125,100",43%
20,Industrial & Systems Engineering,Bachelors,"$73,100","$124,800",48%
21,Economics and Mathematics,Bachelors,"$68,200","$124,100",35%
22,Biomedical Engineering (BME),Bachelors,"$71,300","$123,600",72%
23,Managerial Economics,Bachelors,"$65,200","$123,600",41%
24,Computer Science (CS),Bachelors,"$75,100","$123,400",42%
25,Physics & Astronomy,Bachelors,"$56,500","$123,400",36%
26,Petroleum Land Management,Bachelors,"$59,300","$123,100",-
27,Bioscience,Bachelors,"$49,200","$123,100",-
28,Electronics & Communications Engineering,Bachelors,"$67,400","$122,900",51%
29,Control Engineering,Bachelors,"$69,700","$122,800",61%
30,Pharmacology,Bachelors,"$57,700","$122,700",-
31,Business Analysis,Bachelors,"$63,200","$122,300",46%
32,Aeronautical Science & Engineering,Bachelors,"$56,000","$122,200",50%
33,Metallurgical Engineering,Bachelors,"$81,800","$122,200",61%
34,Engineering Science,Bachelors,"$67,900","$122,100",45%
35,Applied Mathematics,Bachelors,"$68,300","$122,000",40%
36,Chemical & Biomolecular Engineering,Bachelors,"$76,800","$121,900",48%
37,Materials Science,Bachelors,"$67,100","$121,800",-
38,Engineering,Bachelors,"$69,900","$121,700",59%
39,Ocean Engineering (OE),Bachelors,"$69,400","$121,400",51%
40,Bioengineering (BioE),Bachelors,"$70,900","$121,300",67%
41,Aeronautical/Aerospace Engineering Technology,Bachelors,"$76,900","$121,200",53%
42,Integrated Science & Technology,Bachelors,"$65,200","$121,100",56%
43,Operations Management & Information Systems,Bachelors,"$66,100","$120,900",38%
44,Software Engineering,Bachelors,"$75,000","$120,000",43%
45,Physics,Bachelors,"$65,900","$119,700",48%
46,Quantitative Economics,Bachelors,"$65,000","$119,600",43%
47,Computer & Information Science,Bachelors,"$63,600","$119,500",55%
48,Geophysics,Bachelors,"$58,000","$119,000",47%
49,Accounting & Economics,Bachelors,"$65,900","$118,900",44%
50,Physician Assistant Studies,Bachelors,"$95,900","$118,500",84%
51,Mining Engineering,Bachelors,"$78,800","$118,300",64%
52,Construction Engineering Management,Bachelors,"$68,800","$118,200",57%
53,Mechanical Engineering (ME),Bachelors,"$71,000","$117,600",50%
54,Materials Science & Engineering,Bachelors,"$72,700","$117,500",47%
55,Engineering Mechanics,Bachelors,"$75,500","$117,400",-
56,Industrial Engineering (IE),Bachelors,"$71,900","$117,400",44%
57,International Business & Finance,Bachelors,"$61,400","$117,400",31%
58,Accounting & Computer Systems,Bachelors,"$63,000","$117,300",37%
59,Business & Information Technology (IT),Bachelors,"$60,100","$116,900",44%
60,Applied Physics,Bachelors,"$67,300","$116,500",52%
61,International Economics,Bachelors,"$58,700","$116,300",48%
62,Business & Economics,Bachelors,"$59,600","$116,200",46%
63,Ceramic Engineering,Bachelors,"$69,200","$115,700",-
64,Economics,Bachelors,"$62,000","$115,700",41%
65,Pharmaceutical Sciences (PS),Bachelors,"$52,800","$115,700",69%
66,Telecommunications Engineering,Bachelors,"$66,400","$115,400",47%
67,Information & Decision Sciences,Bachelors,"$65,200","$115,200",33%
68,Materials Engineering,Bachelors,"$72,300","$115,200",58%
69,Paper Science,Bachelors,"$77,000","$115,200",39%
70,Asian Studies,Bachelors,"$47,700","$115,100",41%
71,Structural Engineering (SE),Bachelors,"$67,800","$115,100",66%
72,Industrial Distribution,Bachelors,"$63,600","$115,000",48%
73,Management Information Systems (MIS),Bachelors,"$65,000","$114,100",42%
74,Electronics Engineering,Bachelors,"$69,600","$113,900",66%
